project_id,category,contractor,starting_date,plan_end_date,actual_end_date,budget,actual_cost,delay_days,cost_overrun_saving,cost_overrun_saving_percentage
P0066,Industrial,SP Setia,2024-03-22,2024-07-07,2024-07-07,64484331,64484331,0,0,0
P0067,Infrastructure,IJM,2023-03-12,2024-12-24,2024-12-24,126801317,125278596,0,-1522721,-0.0120087159662545
P0068,Residential,UEM,2024-01-31,2025-10-30,2025-10-30,63085309,62881850,0,-203459,-0.00322514073760025
P0069,Residential,WCT,2022-10-31,2023-09-18,2023-09-18,86139339,93628920,0,7489581,0.0869472773641785
P0070,Industrial,SP Setia,2023-12-16,2024-07-22,2025-01-11,44928654,44928654,173,0,0
P0071,Commercial,Sunway,2022-07-08,2022-11-27,2023-02-09,35625032,40898585,74,5273553,0.148029424927955
P0072,Unknown,Unknown,2024-04-10,2026-02-05,2026-02-05,71623252,83624100,0,12000848,0.167555195622785
P0073,Commercial,UEM,2023-04-07,2024-10-01,2024-10-01,120113132,134209556,0,14096424,0.117359557321343
P0074,Unknown,Unknown,2022-09-28,2023-03-20,2023-03-20,49322088,49322088,0,0,0
P0075,Infrastructure,UEM,2022-10-26,2023-02-26,2023-02-26,80891635,80891635,0,0,0
P0076,Commercial,WCT,2023-03-12,2023-10-05,2023-10-05,44994036,53512347,0,8518311,0.189320891328797
P0077,Unknown,Unknown,2023-09-02,2025-07-05,2025-09-26,38380930,41564665,83,3183735,0.0829509602815773
P0078,Commercial,Gamuda,2023-03-25,2023-09-13,2023-09-13,120971811,134435946,0,13464135,0.111299772142785
P0079,Unknown,Unknown,2024-02-23,2025-02-22,2025-02-22,52027403,58688384,0,6660981,0.128028319998982
P0080,Infrastructure,Unknown,2023-10-13,2025-05-28,2025-06-30,98405085,102362076,33,3956991,0.0402112451810798
P0081,Industrial,Gamuda,2023-12-12,2025-07-31,2025-10-22,14850811,16117353,83,1266542,0.0852843659514622
P0082,Residential,UEM,2023-11-05,2025-08-11,2025-12-17,21434785,21434785,128,0,0
P0083,Commercial,WCT,2022-10-01,2024-07-14,2024-07-14,122605892,131145285,0,8539393,0.0696491242035905
P0084,Residential,Sunway,2023-07-19,2023-10-31,2024-03-30,39009648,39009648,151,0,0
P0085,Unknown,Sunway,2023-05-26,2024-06-17,2024-06-17,144859673,144859673,0,0,0
P0086,Unknown,WCT,2023-01-28,2023-11-09,2023-11-09,41643679,41505696,0,-137983,-0.00331342002708262
P0087,Infrastructure,Unknown,2024-04-20,2024-07-21,2024-07-21,136436828,144117073,0,7680245,0.0562915827975713
P0088,Industrial,Unknown,2023-04-12,2024-06-04,2024-06-04,107802954,126284753,0,18481799,0.171440561823566
P0089,Residential,Unknown,2023-01-31,2023-10-03,2023-10-03,43033105,43033105,0,0,0
P0090,Residential,SP Setia,2022-01-16,2022-09-10,2022-09-10,31087792,31087792,0,0,0
P0091,Infrastructure,UEM,2024-05-22,2026-02-17,2026-02-17,135982404,124092739,0,-11889665,-0.0874353199403652
P0092,Infrastructure,Gamuda,2024-02-04,2024-08-04,2024-08-04,31979706,36549619,0,4569913,0.142900406901802
P0093,Commercial,Sunway,2022-10-28,2024-01-28,2024-05-12,44076094,44076094,105,0,0
P0094,Infrastructure,Unknown,2022-03-22,2024-03-05,2024-03-05,76897882,76897882,0,0,0
P0095,Industrial,WCT,2022-09-19,2022-12-27,2022-12-27,47406259,58349162,0,10942903,0.230832451892059
P0096,Infrastructure,Gamuda,2023-04-13,2024-05-16,2024-07-15,134710176,142728888,60,8018712,0.0595256589969862
P0097,Unknown,SP Setia,2024-04-29,2025-09-06,2025-09-06,18165214,21086366,0,2921152,0.16081021671421
P0098,Infrastructure,Unknown,2022-08-13,2023-05-24,2023-05-24,41716396,41716396,0,0,0
P0099,Commercial,Sunway,2022-02-04,2023-12-19,2023-12-19,29194993,29613990,0,418997,0.0143516732475325
P0100,Infrastructure,SP Setia,2024-03-16,2025-12-18,2025-12-18,166335369,166335369,0,0,0
P0102,Unknown,Unknown,2022-04-03,2023-08-10,2023-08-10,149035033,149035033,0,0,0
P0103,Unknown,UEM,2024-04-22,2025-08-05,2025-08-05,131561108,159120817,0,27559709,0.209482189827711
P0104,Infrastructure,Unknown,2023-10-26,2024-03-28,2024-09-16,86118556,97235863,172,11117307,0.129093049353963
P0106,Commercial,Unknown,2023-03-01,2023-09-08,2023-09-08,114552773,114552773,0,0,0
P0107,Industrial,WCT,2023-04-01,2024-02-26,2024-02-26,103605726,128703683,0,25097957,0.242244883260603
P0108,Infrastructure,UEM,2022-07-14,2023-02-14,2023-02-14,61936721,68687890,0,6751169,0.10900107223952
P0109,Commercial,Gamuda,2022-05-09,2024-03-07,2024-03-07,60608383,71794783,0,11186400,0.184568527426313
P0110,Residential,SP Setia,2022-10-11,2023-06-06,2023-06-06,72284473,67837114,0,-4447359,-0.0615257857659141
P0112,Unknown,Gamuda,2024-02-03,2024-07-07,2024-11-15,102184097,108136017,131,5951920,0.0582470284001237
P0113,Residential,Unknown,2024-01-15,2025-09-29,2025-12-25,14709233,14709233,87,0,0
P0114,Industrial,WCT,2023-12-31,2025-06-27,2025-06-27,91466233,84422306,0,-7043927,-0.0770112288323933
P0115,Industrial,Unknown,2023-04-10,2024-12-07,2025-05-20,31623014,31623014,164,0,0
P0116,Infrastructure,SP Setia,2022-08-22,2024-01-17,2024-04-22,112033318,113028412,96,995094,0.00888212558339118
P0117,Commercial,Gamuda,2022-06-06,2024-01-02,2024-01-02,27914821,27914821,0,0,0
P0118,Infrastructure,WCT,2023-08-24,2025-06-19,2025-06-19,37811210,45591342,0,7780132,0.205762576759643
P0119,Unknown,SP Setia,2022-12-27,2023-07-11,2023-07-11,62106638,66377480,0,4270842,0.0687662726164633
P0120,Unknown,WCT,2022-04-28,2023-05-08,2023-05-08,120188984,149165503,0,28976519,0.241091305006788
P0121,Residential,Sunway,2022-01-30,2022-10-31,2022-10-31,92708145,92708145,0,0,0
P0122,Infrastructure,SP Setia,2024-01-29,2024-05-29,2024-05-29,62749293,66437447,0,3688154,0.0587760247752911
P0123,Infrastructure,Unknown,2024-03-06,2026-01-06,2026-01-06,19122074,22259099,0,3137025,0.164052549948295
P0124,Infrastructure,Unknown,2023-11-09,2025-04-16,2025-04-16,123660332,120624364,0,-3035968,-0.0245508640555809
P0125,Residential,UEM,2022-04-24,2023-05-09,2023-10-17,146447797,159782745,161,13334948,0.0910559822214328
P0127,Residential,Unknown,2023-01-25,2024-10-21,2024-10-21,120247098,120247098,0,0,0
P0128,Residential,SP Setia,2022-03-21,2023-05-05,2023-10-09,142046396,142046396,157,0,0
P0129,Unknown,IJM,2022-06-25,2024-01-07,2024-01-07,120415141,120415141,0,0,0
P0130,Unknown,UEM,2023-02-10,2024-03-23,2024-03-23,94407427,94407427,0,0,0
P0131,Residential,Sunway,2024-03-05,2025-05-26,2025-05-26,68422936,67710576,0,-712360,-0.0104111288062822
P0132,Infrastructure,Sunway,2024-03-02,2025-10-18,2025-10-18,125502087,125502087,0,0,0
P0133,Infrastructure,Unknown,2023-03-27,2023-09-02,2024-01-10,86287741,112468287,130,26180546,0.303409797227163
P0134,Industrial,Gamuda,2023-04-08,2023-08-14,2023-08-14,98678114,98678114,0,0,0
P0135,Residential,SP Setia,2023-04-06,2025-02-09,2025-02-09,98201068,98201068,0,0,0
P0136,Infrastructure,SP Setia,2024-01-02,2024-06-26,2024-06-26,15507135,16332353,0,825218,0.0532153747291166
P0137,Residential,Unknown,2022-10-17,2024-02-15,2024-02-15,19056760,21468523,0,2411763,0.1265568228807
P0138,Infrastructure,Unknown,2022-10-18,2023-10-01,2023-10-01,45365532,50081679,0,4716147,0.1039588161338
P0139,Industrial,SP Setia,2022-05-13,2024-04-11,2024-04-11,106114081,107702268,0,1588187,0.0149667884321592
P0140,Commercial,Sunway,2022-01-19,2023-04-25,2023-04-25,62496905,73006051,0,10509146,0.168154663018913
P0141,Unknown,Sunway,2022-03-21,2023-04-17,2023-04-17,149893609,181264656,0,31371047,0.20928875626712
P0142,Residential,Unknown,2023-09-04,2024-12-22,2024-12-22,62641998,62641998,0,0,0
P0143,Infrastructure,Unknown,2023-01-09,2023-12-08,2023-12-08,81484758,95690006,0,14205248,0.174330124414188
P0144,Commercial,UEM,2024-05-05,2025-02-17,2025-02-17,123101862,123101862,0,0,0
P0145,Unknown,IJM,2024-03-31,2026-03-10,2026-03-10,19006908,22921208,0,3914300,0.205940913693064
P0146,Commercial,Unknown,2022-10-19,2023-04-12,2023-04-12,125613208,119530015,0,-6083193,-0.0484279726380366
P0147,Commercial,Gamuda,2022-12-24,2023-04-20,2023-04-20,111422300,109474897,0,-1947403,-0.0174776772692719
P0148,Industrial,Unknown,2022-11-23,2023-06-02,2023-06-02,44204812,44222838,0,18026,0.000407783659389842
P0150,Residential,Unknown,2022-09-01,2023-10-04,2023-10-04,69005616,81279278,0,12273662,0.177864682781761
P0151,Commercial,Unknown,2023-09-04,2025-06-03,2025-06-03,69944772,70080828,0,136056,0.00194519184364487
P0152,Industrial,Unknown,2022-07-11,2023-01-04,2023-01-04,23167529,25262538,0,2095009,0.0904286771368669
P0153,Unknown,SP Setia,2022-02-14,2023-06-15,2023-06-15,9359991,8645316,0,-714675,-0.0763542400842052
P0155,Infrastructure,WCT,2024-04-10,2024-11-24,2024-12-20,14927761,13903998,26,-1023763,-0.0685811489077297
P0156,Residential,SP Setia,2023-06-12,2024-10-21,2025-03-19,72998396,86197758,149,13199362,0.180817151105622
P0157,Commercial,Unknown,2022-10-07,2023-05-12,2023-08-24,112380027,154652176,104,42272149,0.376153575759508
P0158,Unknown,Sunway,2023-12-10,2025-07-31,2025-07-31,88429921,88429921,0,0,0
P0159,Commercial,Unknown,2023-07-13,2024-08-06,2024-08-06,26585372,26585372,0,0,0
P0160,Industrial,SP Setia,2022-12-26,2024-06-25,2024-06-25,121753452,151340703,0,29587251,0.243009545224229
P0161,Infrastructure,Unknown,2023-06-10,2024-02-18,2024-02-18,122621122,122621122,0,0,0
P0162,Unknown,SP Setia,2023-08-04,2023-12-05,2023-12-05,125775169,129574168,0,3798999,0.0302046821340387
P0163,Unknown,Unknown,2023-02-12,2024-03-29,2024-03-29,65457213,65457213,0,0,0
P0165,Residential,WCT,2022-05-19,2022-10-31,2022-10-31,124483624,147348729,0,22865105,0.183679621987869
P0166,Commercial,Unknown,2022-11-04,2023-07-13,2023-07-13,102037318,96167810,0,-5869508,-0.0575231505006825
P0167,Residential,WCT,2022-01-27,2023-05-01,2023-05-01,104028837,129417510,0,25388673,0.244054184706496
P0168,Industrial,Unknown,2023-02-12,2024-09-14,2025-02-05,114906474,127856572,144,12950098,0.112701204285496
P0169,Residential,Sunway,2023-11-28,2025-08-08,2025-08-08,53845357,50892560,0,-2952797,-0.0548384701024454
P0170,Infrastructure,UEM,2022-11-08,2023-07-24,2023-07-24,65524219,80549998,0,15025779,0.229316415049525
P0171,Unknown,Sunway,2023-10-13,2025-07-28,2025-07-28,86288860,86288860,0,0,0
P0172,Commercial,Unknown,2022-06-25,2024-06-03,2024-06-03,16058011,14611677,0,-1446334,-0.0900693118219934
P0173,Infrastructure,Unknown,2023-09-25,2024-01-24,2024-01-24,83232590,83232590,0,0,0
P0174,Infrastructure,SP Setia,2022-03-16,2022-08-14,2022-10-03,116567612,118541633,50,1974021,0.0169345581172238
P0175,Residential,WCT,2024-01-22,2025-04-09,2025-04-09,97901931,97901931,0,0,0
P0176,Commercial,Sunway,2023-04-06,2024-03-14,2024-03-14,19224526,19224526,0,0,0
P0177,Industrial,WCT,2024-04-13,2025-06-12,2025-06-12,60121098,60121098,0,0,0
P0178,Residential,Gamuda,2023-05-25,2023-09-15,2023-10-18,140679214,142578054,33,1898840,0.0134976585808903
P0179,Infrastructure,SP Setia,2022-10-16,2024-06-03,2024-11-12,81704997,113743289,162,32038292,0.392121573665807
P0180,Residential,Unknown,2024-02-22,2025-07-08,2025-07-08,112530311,123404779,0,10874468,0.0966359010595821
P0181,Unknown,SP Setia,2023-06-01,2024-12-03,2024-12-03,36893090,34452188,0,-2440902,-0.066161495282721
P0182,Infrastructure,Unknown,2024-02-13,2024-10-07,2024-10-07,141666534,129495851,0,-12170683,-0.0859107839823342
P0183,Industrial,WCT,2023-06-16,2024-12-24,2024-12-24,143380017,175780898,0,32400881,0.225979056760748
P0184,Infrastructure,SP Setia,2023-08-31,2024-11-07,2024-11-07,147898885,162248551,0,14349666,0.0970234900689076
P0185,Unknown,Unknown,2023-11-21,2024-06-10,2024-06-10,87591639,87591639,0,0,0
P0187,Industrial,Unknown,2022-02-02,2023-12-10,2023-12-10,10083461,10553079,0,469618,0.0465730962811281
P0188,Infrastructure,Sunway,2024-06-12,2024-11-12,2024-11-12,75782479,75782479,0,0,0
P0189,Unknown,Unknown,2023-04-16,2025-01-10,2025-01-10,100103188,100103188,0,0,0
P0190,Commercial,Unknown,2022-07-16,2023-06-23,2023-06-23,85127759,105602578,0,20474819,0.240518712585868
P0191,Industrial,SP Setia,2022-11-21,2024-06-24,2024-06-24,86302475,86302475,0,0,0
P0192,Industrial,UEM,2024-03-02,2024-10-27,2024-10-27,82210180,76263120,0,-5947060,-0.0723397029418984
P0193,Commercial,Gamuda,2022-07-26,2024-04-27,2024-04-27,77912833,86910749,0,8997916,0.115486957071629
P0194,Commercial,Gamuda,2023-11-17,2025-08-11,2025-08-11,19090474,19388338,0,297864,0.0156027555942299
P0195,Infrastructure,Gamuda,2023-07-18,2024-03-25,2024-07-17,133164110,175676937,114,42512827,0.319251388380848
P0196,Industrial,Sunway,2024-02-27,2024-08-26,2024-08-26,67336134,77644702,0,10308568,0.15309117687095
P0197,Infrastructure,WCT,2022-02-07,2023-06-18,2023-06-18,82703199,74701127,0,-8002072,-0.0967564991047082
P0198,Infrastructure,Sunway,2023-04-11,2025-01-16,2025-06-09,41024022,52689978,144,11665956,0.284368899763168
P0199,Commercial,Unknown,2024-01-19,2025-07-31,2025-07-31,54982432,55971525,0,989093,0.0179892551860929
P0200,Infrastructure,UEM,2024-04-26,2025-10-05,2025-10-05,26399382,26399382,0,0,0
P0201,Infrastructure,SP Setia,2022-01-07,2022-12-30,2022-12-30,124919653,154139882,0,29220229,0.233912185138715
P0202,Residential,WCT,2023-12-11,2024-11-06,2024-11-06,129928516,135371977,0,5443461,0.0418958144646245
P0203,Industrial,Unknown,2023-01-12,2024-12-31,2024-12-31,40854597,43274926,0,2420329,0.0592425131497442
P0204,Unknown,SP Setia,2024-02-15,2025-11-16,2025-11-16,79180991,79180991,0,0,0
P0205,Unknown,Unknown,2022-03-21,2024-01-17,2024-01-17,140690649,153047657,0,12357008,0.0878310540738212
P0206,Commercial,Unknown,2022-04-30,2023-02-24,2023-08-02,38489964,38489964,159,0,0
P0207,Infrastructure,Gamuda,2023-04-13,2025-02-08,2025-02-08,130133519,130133519,0,0,0
P0208,Residential,Unknown,2024-02-03,2024-12-12,2024-12-12,17157388,19647520,0,2490132,0.14513467900825
P0210,Unknown,Unknown,2023-04-05,2024-07-24,2024-07-24,149767312,179885563,0,30118251,0.201100297506842
P0212,Residential,Unknown,2024-04-23,2025-03-14,2025-05-26,97921547,97921547,73,0,0
P0213,Commercial,Gamuda,2023-09-22,2024-01-06,2024-01-06,23063265,21027970,0,-2035295,-0.0882483464505134
P0214,Commercial,SP Setia,2023-02-16,2024-08-08,2024-08-08,63322758,74190353,0,10867595,0.171622262567906
P0215,Industrial,WCT,2023-08-15,2025-07-17,2025-07-17,86004273,107074756,0,21070483,0.24499344352344
P0216,Infrastructure,Unknown,2022-10-09,2023-03-10,2023-03-10,52011957,54587599,0,2575642,0.0495201901362796
P0217,Commercial,UEM,2024-03-15,2025-12-02,2026-03-03,123377671,123377671,91,0,0
P0218,Commercial,WCT,2022-11-04,2023-06-29,2023-06-29,126781939,126781939,0,0,0
P0219,Residential,WCT,2022-07-28,2023-09-29,2023-09-29,125738730,125738730,0,0,0
P0220,Industrial,UEM,2023-01-22,2024-12-31,2024-12-31,24537895,24537895,0,0,0
P0221,Commercial,UEM,2024-06-09,2025-08-13,2025-08-13,76499878,76499878,0,0,0
P0222,Infrastructure,SP Setia,2023-02-11,2024-01-12,2024-01-12,80983125,88010641,0,7027516,0.0867775354433408
P0223,Infrastructure,Unknown,2023-06-10,2025-01-29,2025-01-29,131027875,132610907,0,1583032,0.0120816429328492
P0224,Infrastructure,Sunway,2022-02-16,2023-12-14,2023-12-14,11478900,11478900,0,0,0
P0225,Infrastructure,Unknown,2022-07-20,2023-09-20,2023-11-27,70962648,70962648,68,0,0
P0226,Unknown,Gamuda,2024-01-11,2025-08-25,2025-08-25,99536571,114677052,0,15140481,0.152109730603438
P0227,Commercial,Gamuda,2023-06-21,2023-10-23,2023-10-23,6713645,8022071,0,1308426,0.194890554981683
P0228,Industrial,Gamuda,2022-08-12,2024-04-10,2024-04-10,24057868,24057868,0,0,0
P0229,Residential,Unknown,2022-01-07,2023-10-03,2024-03-02,8181221,9853835,151,1672614,0.204445522251507
P0230,Infrastructure,WCT,2024-04-05,2025-01-03,2025-01-03,145763634,140979120,0,-4784514,-0.0328237837429328
P0231,Infrastructure,IJM,2024-03-25,2025-08-03,2025-08-03,113992152,113992152,0,0,0
P0232,Commercial,IJM,2023-11-01,2024-03-02,2024-04-04,106807911,106807911,33,0,0
P0233,Unknown,Unknown,2023-05-27,2024-11-11,2024-11-11,30598497,37382284,0,6783787,0.221703275164136
P0234,Unknown,Sunway,2022-10-05,2023-02-19,2023-02-19,13832005,16565896,0,2733891,0.197649653828205
P0235,Industrial,Sunway,2024-02-10,2025-06-21,2025-06-21,48607406,53387631,0,4780225,0.0983435528322577
P0236,Unknown,Unknown,2024-03-20,2024-09-06,2024-09-06,19414026,19050020,0,-364006,-0.0187496400798062
P0237,Commercial,Unknown,2024-03-03,2025-05-01,2025-05-01,129033537,129033537,0,0,0
P0238,Industrial,SP Setia,2022-03-29,2023-04-25,2023-04-25,27021911,27021911,0,0,0
P0239,Residential,Sunway,2023-01-05,2023-07-23,2023-07-23,87749915,102357754,0,14607839,0.166471260969313
P0240,Unknown,SP Setia,2023-03-18,2024-09-17,2024-09-17,142557292,129611901,0,-12945391,-0.0908083397094833
P0241,Unknown,Sunway,2024-06-03,2025-09-30,2025-09-30,116081294,107914374,0,-8166920,-0.0703551771226809
P0242,Industrial,WCT,2023-12-03,2025-03-26,2025-03-26,77187385,82790678,0,5603293,0.0725933777909434
P0244,Infrastructure,Unknown,2023-04-14,2023-10-30,2023-10-30,6927548,6927548,0,0,0
P0245,Industrial,SP Setia,2022-12-09,2024-05-22,2024-05-22,41540635,41540635,0,0,0
P0246,Infrastructure,Unknown,2022-07-01,2023-11-10,2023-11-10,160565357,160565357,0,0,0
P0248,Industrial,Unknown,2024-03-27,2025-04-19,2025-05-16,139030686,141618265,27,2587579,0.0186115675211442
P0250,Commercial,Gamuda,2024-03-20,2025-06-21,2025-06-21,27812164,27812164,0,0,0
P0251,Industrial,SP Setia,2023-07-31,2024-12-11,2025-03-15,33439275,34021589,94,582314,0.0174140737201988
P0252,Industrial,IJM,2023-02-05,2024-08-22,2024-08-22,45465284,41309617,0,-4155667,-0.0914030802051077
P0253,Industrial,IJM,2022-04-29,2022-12-20,2022-12-20,97091261,94411888,0,-2679373,-0.0275964383653437
P0254,Residential,Sunway,2023-03-25,2024-09-28,2024-09-28,85601526,98336691,0,12735165,0.148772639870929
P0255,Industrial,Sunway,2024-01-29,2025-01-02,2025-01-02,47986102,50348423,0,2362321,0.049229274759596
P0256,Commercial,WCT,2022-07-10,2023-12-24,2023-12-24,57968874,60887229,0,2918355,0.0503434826075801
P0257,Infrastructure,Unknown,2024-02-10,2024-07-13,2024-07-13,149120046,151221851,0,2101805,0.0140947180233568
P0258,Infrastructure,IJM,2023-06-25,2024-08-08,2025-01-17,110372729,132472302,162,22099573,0.200226751664354
P0259,Unknown,Unknown,2023-11-20,2024-07-04,2024-07-04,69041379,69041379,0,0,0
P0260,Unknown,Sunway,2023-03-05,2025-02-02,2025-02-02,108001359,115597588,0,7596229,0.0703345686603814
P0261,Industrial,Sunway,2023-05-17,2024-06-05,2024-06-05,89444429,99890956,0,10446527,0.116793489732044
P0263,Industrial,Unknown,2022-03-26,2024-01-23,2024-01-23,83407288,81630312,0,-1776976,-0.0213048049230422
P0264,Industrial,UEM,2023-07-17,2025-03-21,2025-03-21,35657114,38869362,0,3212248,0.0900871562404069
P0265,Residential,Unknown,2023-03-12,2023-09-22,2023-09-22,84915632,77381971,0,-7533661,-0.0887193655933692
P0266,Unknown,Sunway,2024-06-05,2025-01-01,2025-01-01,99121749,110381150,0,11259401,0.113591629623081
P0267,Infrastructure,WCT,2024-03-14,2025-01-09,2025-01-09,99171312,109971086,0,10799774,0.108900182746397
P0268,Commercial,Sunway,2023-08-10,2024-08-07,2024-08-07,41396869,48640984,0,7244115,0.174991857475984
P0269,Industrial,Unknown,2022-09-13,2023-05-10,2023-05-10,121688037,121688037,0,0,0
P0270,Infrastructure,Gamuda,2022-03-19,2022-09-20,2022-09-20,96185433,96185433,0,0,0
