Project_ID,Project_Name,Category,Contractor,Start_Date,Planned_End_Date,Actual_End_Date,Budget_MYR,Actual_Cost_MYR,Delay_Days
P0035,Project_35,Infrastructure,Sunway,2022-08-31,2023-05-14,2023-07-08,"11,653,539",14666475.00,55.0
P0036,Project_36,Infrastructure,UEM,2024-03-17,2024-10-03,2024-10-03,RM131349890,155755397.00,0.0
P0037,Project_37,,,2022-08-17,2022-12-09,2022-12-09,RM111962397,RM 134637416,0.0
P0038,Project_38,Residential,IJM,2023-11-27,2025-08-27,2025-08-27,RM35961814,35653452abc,0.0
P0039,Project_39,Infrastructure,Gamuda,2023-09-03,2025-02-18,2025-02-18,"122,143,591",131792699.00,0.0
P0040,Project_40,Infrastructure,,2023-12-27,2025-06-15,2025-06-15,"149,539,606",,
P0041,Project_41,Infrastructure,,2022-03-13,2023-05-15,2023-05-15,,RM 38650459,0.0
P0042,Project_42,,WCT,2023-12-15,2025-01-10,2025-01-10,"56,496,683",,0.0
P0043,Project_43,Industrial,,2023-02-20,2024-12-02,2024-12-02,RM82017814,96372210abc,0.0
P0044,Project_44,Residential,UEM,2023-03-29,2024-01-31,2024-06-19,RM50551186,,140.0
P0045,Project_45,Industrial,,2023-11-20,2024-12-31,2024-12-31,44555028,43917663.00,0.0
P0046,Project_46,Residential,,2023-10-07,2025-08-16,2025-10-14,137708361,,59.0
P0047,Project_47,Commercial,,2022-08-13,2023-05-10,2023-09-29,,25891448,142.0
P0048,Project_48,,,2023-11-15,2025-08-09,2025-08-09,,109290829abc,
P0049,Project_49,Commercial,WCT,2022-06-12,2024-01-09,2024-01-09,,71158016abc,0.0
P0050,Project_50,Commercial,UEM,2023-03-27,2023-09-12,2023-09-12,"77,937,969",94504416,0.0
P0051,Project_51,Commercial,,2023-01-28,2023-10-01,2023-10-01,116365253,126828106.00,0.0
P0052,Project_52,Industrial,UEM,2023-02-03,2024-12-22,2024-12-22,,RM 131738209,
P0053,Project_53,Commercial,,2023-05-15,2024-03-24,2024-06-11,,,79.0
P0054,Project_54,Residential,WCT,2022-05-11,2024-02-06,2024-02-22,"12,275,151",12969301.00,16.0
P0055,Project_55,Infrastructure,IJM,2023-01-24,2024-03-24,2024-05-27,,RM 117293116,64.0
P0056,Project_56,Residential,UEM,2023-04-27,2023-08-14,2023-08-14,98941764,,0.0
P0057,Project_57,Industrial,WCT,2022-07-24,2022-11-11,2022-11-11,"69,033,920",78305906abc,0.0
P0058,Project_58,,Gamuda,2024-02-25,2025-06-06,2025-06-06,35744682,RM 34219028,
P0059,Project_59,Residential,WCT,2022-11-16,2024-09-25,2025-01-09,"58,238,744",,106.0
P0060,Project_60,,SP Setia,2024-05-20,2026-04-24,2026-04-24,16024411,RM 16824546,
P0061,Project_61,Industrial,Sunway,2022-01-13,2023-06-17,2023-06-17,"121,373,051",136235762.00,0.0
P0062,Project_62,Infrastructure,UEM,2024-01-22,2025-10-07,2025-10-07,RM149464689,,0.0
P0063,Project_63,Infrastructure,Gamuda,2024-04-30,2024-10-25,2025-01-14,,,81.0
P0064,Project_64,,Gamuda,2023-05-22,2024-07-17,2024-09-11,RM61940488,RM 63958364,56.0
P0065,Project_65,Industrial,,2023-06-14,2024-03-25,2024-03-25,,,0.0
P0066,Project_66,Industrial,SP Setia,2024-03-22,2024-07-07,2024-07-07,RM64484331,,0.0
P0067,Project_67,Infrastructure,IJM,2023-03-12,2024-12-24,2024-12-24,"126,801,317",125278596,0.0
P0068,Project_68,Residential,UEM,2024-01-31,2025-10-30,2025-10-30,RM63085309,62881850abc,0.0
P0069,Project_69,Residential,WCT,2022-10-31,2023-09-18,2023-09-18,86139339,RM 93628920,0.0
P0070,Project_70,Industrial,SP Setia,2023-12-16,2024-07-22,2025-01-11,,44928654.00,173.0
P0071,Project_71,Commercial,Sunway,2022-07-08,2022-11-27,2023-02-09,35625032,40898585,74.0
P0072,Project_72,,,2024-04-10,2026-02-05,2026-02-05,"71,623,252",83624100abc,0.0
P0073,Project_73,Commercial,UEM,2023-04-07,2024-10-01,2024-10-01,120113132,134209556abc,
P0074,Project_74,,,2022-09-28,2023-03-20,2023-03-20,,49322088.00,0.0
P0075,Project_75,Infrastructure,UEM,2022-10-26,2023-02-26,2023-02-26,"80,891,635",,0.0
P0076,Project_76,Commercial,WCT,2023-03-12,2023-10-05,2023-10-05,44994036,53512347,0.0
P0077,Project_77,,,2023-09-02,2025-07-05,2025-09-26,RM38380930,41564665.00,83.0
P0078,Project_78,Commercial,Gamuda,2023-03-25,2023-09-13,2023-09-13,120971811,134435946,0.0
P0079,Project_79,,,2024-02-23,2025-02-22,2025-02-22,"52,027,403",RM 58688384,0.0
P0080,Project_80,Infrastructure,,2023-10-13,2025-05-28,2025-06-30,"98,405,085",102362076,33.0
P0081,Project_81,Industrial,Gamuda,2023-12-12,2025-07-31,2025-10-22,14850811,RM 16117353,83.0
P0082,Project_82,Residential,UEM,2023-11-05,2025-08-11,2025-12-17,,21434785.00,128.0
P0083,Project_83,Commercial,WCT,2022-10-01,2024-07-14,2024-07-14,"122,605,892",131145285,0.0
P0084,Project_84,Residential,Sunway,2023-07-19,2023-10-31,2024-03-30,,39009648,151.0
P0085,Project_85,,Sunway,2023-05-26,2024-06-17,2024-06-17,,"144,859,673",0.0
P0086,Project_86,,WCT,2023-01-28,2023-11-09,2023-11-09,RM41643679,41505696.00,
P0087,Project_87,Infrastructure,,2024-04-20,2024-07-21,2024-07-21,RM136436828,144117073.00,0.0
P0088,Project_88,Industrial,,2023-04-12,2024-06-04,2024-06-04,RM107802954,126284753,0.0
P0089,Project_89,Residential,,2023-01-31,2023-10-03,2023-10-03,,43033105,0.0
P0090,Project_90,Residential,SP Setia,2022-01-16,2022-09-10,2022-09-10,,RM 31087792,0.0
P0091,Project_91,Infrastructure,UEM,2024-05-22,2026-02-17,2026-02-17,"135,982,404",124092739,0.0
P0092,Project_92,Infrastructure,Gamuda,2024-02-04,2024-08-04,2024-08-04,31979706,36549619,0.0
P0093,Project_93,Commercial,Sunway,2022-10-28,2024-01-28,2024-05-12,"44,076,094",,105.0
P0094,Project_94,Infrastructure,,2022-03-22,2024-03-05,2024-03-05,,"76,897,882",
P0095,Project_95,Industrial,WCT,2022-09-19,2022-12-27,2022-12-27,RM47406259,58349162abc,0.0
P0096,Project_96,Infrastructure,Gamuda,2023-04-13,2024-05-16,2024-07-15,RM134710176,RM 142728888,60.0
P0097,Project_97,,SP Setia,2024-04-29,2025-09-06,2025-09-06,"18,165,214",RM 21086366,0.0
P0098,Project_98,Infrastructure,,2022-08-13,2023-05-24,2023-05-24,41716396,,0.0
P0099,Project_99,Commercial,Sunway,2022-02-04,2023-12-19,2023-12-19,"29,194,993",29613990.00,0.0
P0100,Project_100,Infrastructure,SP Setia,2024-03-16,2025-12-18,2025-12-18,,RM 166335369,
P0101,Project_101,,SP Setia,2024-04-03,2024-10-27,2024-10-27,,,0.0
P0102,Project_102,,,2022-04-03,2023-08-10,2023-08-10,RM149035033,,0.0
P0103,Project_103,,UEM,2024-04-22,2025-08-05,2025-08-05,RM131561108,159120817abc,0.0
P0104,Project_104,Infrastructure,,2023-10-26,2024-03-28,2024-09-16,86118556,97235863,172.0
P0105,Project_105,,Sunway,2022-04-29,2022-11-04,2022-11-04,,,
P0106,Project_106,Commercial,,2023-03-01,2023-09-08,2023-09-08,RM114552773,,
P0107,Project_107,Industrial,WCT,2023-04-01,2024-02-26,2024-02-26,103605726,RM 128703683,0.0
P0108,Project_108,Infrastructure,UEM,2022-07-14,2023-02-14,2023-02-14,61936721,68687890,0.0
P0109,Project_109,Commercial,Gamuda,2022-05-09,2024-03-07,2024-03-07,RM60608383,"71,794,783",0.0
P0110,Project_110,Residential,SP Setia,2022-10-11,2023-06-06,2023-06-06,"72,284,473",67837114,
P0111,Project_111,,IJM,2024-03-19,2025-02-15,2025-02-15,,,0.0
P0112,Project_112,,Gamuda,2024-02-03,2024-07-07,2024-11-15,"102,184,097",108136017abc,131.0
P0113,Project_113,Residential,,2024-01-15,2025-09-29,2025-12-25,,14709233.00,87.0
P0114,Project_114,Industrial,WCT,2023-12-31,2025-06-27,2025-06-27,RM91466233,RM 84422306,0.0
P0115,Project_115,Industrial,,2023-04-10,2024-12-07,2025-05-20,"31,623,014",,164.0
P0116,Project_116,Infrastructure,SP Setia,2022-08-22,2024-01-17,2024-04-22,RM112033318,113028412.00,96.0
P0117,Project_117,Commercial,Gamuda,2022-06-06,2024-01-02,2024-01-02,RM27914821,,0.0
P0118,Project_118,Infrastructure,WCT,2023-08-24,2025-06-19,2025-06-19,37811210,45591342.00,0.0
P0119,Project_119,,SP Setia,2022-12-27,2023-07-11,2023-07-11,RM62106638,66377480,
P0120,Project_120,,WCT,2022-04-28,2023-05-08,2023-05-08,120188984,149165503abc,0.0
P0121,Project_121,Residential,Sunway,2022-01-30,2022-10-31,2022-10-31,,"92,708,145",0.0
P0122,Project_122,Infrastructure,SP Setia,2024-01-29,2024-05-29,2024-05-29,RM62749293,"66,437,447",
P0123,Project_123,Infrastructure,,2024-03-06,2026-01-06,2026-01-06,19122074,22259099,0.0
P0124,Project_124,Infrastructure,,2023-11-09,2025-04-16,2025-04-16,123660332,120624364abc,
P0125,Project_125,Residential,UEM,2022-04-24,2023-05-09,2023-10-17,146447797,159782745.00,161.0
P0126,Project_126,Commercial,Sunway,2022-11-05,2023-09-07,2023-09-07,,,0.0
P0127,Project_127,Residential,,2023-01-25,2024-10-21,2024-10-21,,120247098,
P0128,Project_128,Residential,SP Setia,2022-03-21,2023-05-05,2023-10-09,,142046396,157.0
P0129,Project_129,,IJM,2022-06-25,2024-01-07,2024-01-07,,120415141abc,0.0
P0130,Project_130,,UEM,2023-02-10,2024-03-23,2024-03-23,94407427,,0.0
P0131,Project_131,Residential,Sunway,2024-03-05,2025-05-26,2025-05-26,"68,422,936","67,710,576",0.0
P0132,Project_132,Infrastructure,Sunway,2024-03-02,2025-10-18,2025-10-18,RM125502087,,
P0133,Project_133,Infrastructure,,2023-03-27,2023-09-02,2024-01-10,86287741,RM 112468287,130.0
P0134,Project_134,Industrial,Gamuda,2023-04-08,2023-08-14,2023-08-14,,98678114,0.0
P0135,Project_135,Residential,SP Setia,2023-04-06,2025-02-09,2025-02-09,,98201068,0.0
P0136,Project_136,Infrastructure,SP Setia,2024-01-02,2024-06-26,2024-06-26,"15,507,135",16332353.00,0.0
P0137,Project_137,Residential,,2022-10-17,2024-02-15,2024-02-15,RM19056760,21468523,0.0
P0138,Project_138,Infrastructure,,2022-10-18,2023-10-01,2023-10-01,RM45365532,"50,081,679",
P0139,Project_139,Industrial,SP Setia,2022-05-13,2024-04-11,2024-04-11,106114081,"107,702,268",0.0
P0140,Project_140,Commercial,Sunway,2022-01-19,2023-04-25,2023-04-25,"62,496,905","73,006,051",0.0
P0141,Project_141,,Sunway,2022-03-21,2023-04-17,2023-04-17,RM149893609,181264656,
P0142,Project_142,Residential,,2023-09-04,2024-12-22,2024-12-22,,"62,641,998",0.0
P0143,Project_143,Infrastructure,,2023-01-09,2023-12-08,2023-12-08,"81,484,758","95,690,006",
P0144,Project_144,Commercial,UEM,2024-05-05,2025-02-17,2025-02-17,,123101862.00,
P0145,Project_145,,IJM,2024-03-31,2026-03-10,2026-03-10,19006908,22921208abc,0.0
P0146,Project_146,Commercial,,2022-10-19,2023-04-12,2023-04-12,125613208,119530015.00,0.0
P0147,Project_147,Commercial,Gamuda,2022-12-24,2023-04-20,2023-04-20,RM111422300,109474897,0.0
P0148,Project_148,Industrial,,2022-11-23,2023-06-02,2023-06-02,"44,204,812",44222838.00,0.0
P0149,Project_149,Residential,WCT,2023-09-23,2023-12-27,2023-12-27,,,0.0
P0150,Project_150,Residential,,2022-09-01,2023-10-04,2023-10-04,69005616,81279278.00,0.0
P0151,Project_151,Commercial,,2023-09-04,2025-06-03,2025-06-03,RM69944772,70080828,
P0152,Project_152,Industrial,,2022-07-11,2023-01-04,2023-01-04,23167529,25262538abc,0.0
P0153,Project_153,,SP Setia,2022-02-14,2023-06-15,2023-06-15,9359991,"8,645,316",0.0
P0154,Project_154,Industrial,Sunway,2022-05-17,2022-09-29,2022-09-29,,,
P0155,Project_155,Infrastructure,WCT,2024-04-10,2024-11-24,2024-12-20,14927761,"13,903,998",26.0
P0156,Project_156,Residential,SP Setia,2023-06-12,2024-10-21,2025-03-19,RM72998396,RM 86197758,149.0
P0157,Project_157,Commercial,,2022-10-07,2023-05-12,2023-08-24,RM112380027,154652176.00,104.0
P0158,Project_158,,Sunway,2023-12-10,2025-07-31,2025-07-31,,88429921,
P0159,Project_159,Commercial,,2023-07-13,2024-08-06,2024-08-06,,26585372.00,0.0
P0160,Project_160,Industrial,SP Setia,2022-12-26,2024-06-25,2024-06-25,121753452,151340703,0.0
P0161,Project_161,Infrastructure,,2023-06-10,2024-02-18,2024-02-18,RM122621122,,0.0
P0162,Project_162,,SP Setia,2023-08-04,2023-12-05,2023-12-05,"125,775,169",129574168,0.0
P0163,Project_163,,,2023-02-12,2024-03-29,2024-03-29,,"65,457,213",0.0
P0164,Project_164,Commercial,IJM,2023-07-30,2024-02-25,2024-02-25,,,0.0
P0165,Project_165,Residential,WCT,2022-05-19,2022-10-31,2022-10-31,RM124483624,RM 147348729,0.0
P0166,Project_166,Commercial,,2022-11-04,2023-07-13,2023-07-13,"102,037,318","96,167,810",0.0
P0167,Project_167,Residential,WCT,2022-01-27,2023-05-01,2023-05-01,104028837,"129,417,510",
P0168,Project_168,Industrial,,2023-02-12,2024-09-14,2025-02-05,114906474,RM 127856572,144.0
P0169,Project_169,Residential,Sunway,2023-11-28,2025-08-08,2025-08-08,53845357,50892560abc,0.0
P0170,Project_170,Infrastructure,UEM,2022-11-08,2023-07-24,2023-07-24,65524219,RM 80549998,0.0
P0171,Project_171,,Sunway,2023-10-13,2025-07-28,2025-07-28,"86,288,860",,0.0
P0172,Project_172,Commercial,,2022-06-25,2024-06-03,2024-06-03,RM16058011,14611677,
P0173,Project_173,Infrastructure,,2023-09-25,2024-01-24,2024-01-24,,"83,232,590",
P0174,Project_174,Infrastructure,SP Setia,2022-03-16,2022-08-14,2022-10-03,"116,567,612",118541633abc,50.0
P0175,Project_175,Residential,WCT,2024-01-22,2025-04-09,2025-04-09,,"97,901,931",0.0
P0176,Project_176,Commercial,Sunway,2023-04-06,2024-03-14,2024-03-14,,19224526abc,0.0
P0177,Project_177,Industrial,WCT,2024-04-13,2025-06-12,2025-06-12,,60121098abc,0.0
P0178,Project_178,Residential,Gamuda,2023-05-25,2023-09-15,2023-10-18,RM140679214,142578054abc,33.0
P0179,Project_179,Infrastructure,SP Setia,2022-10-16,2024-06-03,2024-11-12,"81,704,997",113743289.00,162.0
P0180,Project_180,Residential,,2024-02-22,2025-07-08,2025-07-08,RM112530311,RM 123404779,0.0
P0181,Project_181,,SP Setia,2023-06-01,2024-12-03,2024-12-03,RM36893090,RM 34452188,0.0
P0182,Project_182,Infrastructure,,2024-02-13,2024-10-07,2024-10-07,"141,666,534",129495851,
P0183,Project_183,Industrial,WCT,2023-06-16,2024-12-24,2024-12-24,"143,380,017",RM 175780898,
P0184,Project_184,Infrastructure,SP Setia,2023-08-31,2024-11-07,2024-11-07,147898885,162248551.00,
P0185,Project_185,,,2023-11-21,2024-06-10,2024-06-10,87591639,,
P0186,Project_186,Commercial,UEM,2022-09-29,2024-08-11,2024-08-11,,,0.0
P0187,Project_187,Industrial,,2022-02-02,2023-12-10,2023-12-10,"10,083,461",10553079.00,0.0
P0188,Project_188,Infrastructure,Sunway,2024-06-12,2024-11-12,2024-11-12,,75782479.00,
P0189,Project_189,,,2023-04-16,2025-01-10,2025-01-10,RM100103188,,
P0190,Project_190,Commercial,,2022-07-16,2023-06-23,2023-06-23,RM85127759,RM 105602578,
P0191,Project_191,Industrial,SP Setia,2022-11-21,2024-06-24,2024-06-24,,86302475abc,
P0192,Project_192,Industrial,UEM,2024-03-02,2024-10-27,2024-10-27,RM82210180,76263120.00,0.0
P0193,Project_193,Commercial,Gamuda,2022-07-26,2024-04-27,2024-04-27,"77,912,833",86910749abc,
P0194,Project_194,Commercial,Gamuda,2023-11-17,2025-08-11,2025-08-11,19090474,19388338.00,0.0
P0195,Project_195,Infrastructure,Gamuda,2023-07-18,2024-03-25,2024-07-17,RM133164110,RM 175676937,114.0
P0196,Project_196,Industrial,Sunway,2024-02-27,2024-08-26,2024-08-26,"67,336,134",77644702,
P0197,Project_197,Infrastructure,WCT,2022-02-07,2023-06-18,2023-06-18,82703199,74701127abc,0.0
P0198,Project_198,Infrastructure,Sunway,2023-04-11,2025-01-16,2025-06-09,41024022,"52,689,978",144.0
P0199,Project_199,Commercial,,2024-01-19,2025-07-31,2025-07-31,"54,982,432",RM 55971525,0.0
P0200,Project_200,Infrastructure,UEM,2024-04-26,2025-10-05,2025-10-05,,"26,399,382",0.0
P0201,Project_201,Infrastructure,SP Setia,2022-01-07,2022-12-30,2022-12-30,124919653,RM 154139882,0.0
P0202,Project_202,Residential,WCT,2023-12-11,2024-11-06,2024-11-06,RM129928516,135371977abc,0.0
P0203,Project_203,Industrial,,2023-01-12,2024-12-31,2024-12-31,RM40854597,43274926abc,0.0
P0204,Project_204,,SP Setia,2024-02-15,2025-11-16,2025-11-16,,79180991,0.0
P0205,Project_205,,,2022-03-21,2024-01-17,2024-01-17,RM140690649,"153,047,657",0.0
P0206,Project_206,Commercial,,2022-04-30,2023-02-24,2023-08-02,,38489964,159.0
P0207,Project_207,Infrastructure,Gamuda,2023-04-13,2025-02-08,2025-02-08,,130133519,
P0208,Project_208,Residential,,2024-02-03,2024-12-12,2024-12-12,17157388,19647520abc,0.0
P0209,Project_209,Infrastructure,,2022-02-02,2023-02-20,2023-02-20,,,0.0
P0210,Project_210,,,2023-04-05,2024-07-24,2024-07-24,"149,767,312",179885563,0.0
P0211,Project_211,,,2023-06-26,2024-02-01,2024-02-01,,,0.0
P0212,Project_212,Residential,,2024-04-23,2025-03-14,2025-05-26,97921547,,73.0
P0213,Project_213,Commercial,Gamuda,2023-09-22,2024-01-06,2024-01-06,23063265,21027970abc,0.0
P0214,Project_214,Commercial,SP Setia,2023-02-16,2024-08-08,2024-08-08,RM63322758,"74,190,353",
P0215,Project_215,Industrial,WCT,2023-08-15,2025-07-17,2025-07-17,"86,004,273",107074756abc,0.0
P0216,Project_216,Infrastructure,,2022-10-09,2023-03-10,2023-03-10,52011957,54587599.00,
P0217,Project_217,Commercial,UEM,2024-03-15,2025-12-02,2026-03-03,,123377671abc,91.0
P0218,Project_218,Commercial,WCT,2022-11-04,2023-06-29,2023-06-29,,"126,781,939",0.0
P0219,Project_219,Residential,WCT,2022-07-28,2023-09-29,2023-09-29,"125,738,730",,0.0
P0220,Project_220,Industrial,UEM,2023-01-22,2024-12-31,2024-12-31,"24,537,895",,0.0
P0221,Project_221,Commercial,UEM,2024-06-09,2025-08-13,2025-08-13,,76499878,0.0
P0222,Project_222,Infrastructure,SP Setia,2023-02-11,2024-01-12,2024-01-12,RM80983125,RM 88010641,0.0
P0223,Project_223,Infrastructure,,2023-06-10,2025-01-29,2025-01-29,RM131027875,"132,610,907",0.0
P0224,Project_224,Infrastructure,Sunway,2022-02-16,2023-12-14,2023-12-14,,11478900abc,0.0
P0225,Project_225,Infrastructure,,2022-07-20,2023-09-20,2023-11-27,RM70962648,,68.0
P0226,Project_226,,Gamuda,2024-01-11,2025-08-25,2025-08-25,"99,536,571",114677052.00,0.0
P0227,Project_227,Commercial,Gamuda,2023-06-21,2023-10-23,2023-10-23,6713645,"8,022,071",0.0
P0228,Project_228,Industrial,Gamuda,2022-08-12,2024-04-10,2024-04-10,,24057868abc,0.0
P0229,Project_229,Residential,,2022-01-07,2023-10-03,2024-03-02,RM8181221,9853835abc,151.0
P0230,Project_230,Infrastructure,WCT,2024-04-05,2025-01-03,2025-01-03,RM145763634,140979120abc,0.0
P0231,Project_231,Infrastructure,IJM,2024-03-25,2025-08-03,2025-08-03,"113,992,152",,0.0
P0232,Project_232,Commercial,IJM,2023-11-01,2024-03-02,2024-04-04,106807911,,33.0
P0233,Project_233,,,2023-05-27,2024-11-11,2024-11-11,"30,598,497","37,382,284",0.0
P0234,Project_234,,Sunway,2022-10-05,2023-02-19,2023-02-19,"13,832,005",16565896,0.0
P0235,Project_235,Industrial,Sunway,2024-02-10,2025-06-21,2025-06-21,RM48607406,53387631.00,0.0
P0236,Project_236,,,2024-03-20,2024-09-06,2024-09-06,RM19414026,19050020,0.0
P0237,Project_237,Commercial,,2024-03-03,2025-05-01,2025-05-01,,129033537.00,0.0
P0238,Project_238,Industrial,SP Setia,2022-03-29,2023-04-25,2023-04-25,"27,021,911",,0.0
P0239,Project_239,Residential,Sunway,2023-01-05,2023-07-23,2023-07-23,"87,749,915",102357754,0.0
P0240,Project_240,,SP Setia,2023-03-18,2024-09-17,2024-09-17,142557292,RM 129611901,
P0241,Project_241,,Sunway,2024-06-03,2025-09-30,2025-09-30,"116,081,294",107914374abc,0.0
P0242,Project_242,Industrial,WCT,2023-12-03,2025-03-26,2025-03-26,"77,187,385",82790678,0.0
P0243,Project_243,,UEM,2023-03-08,2024-04-07,2024-04-07,,,0.0
P0244,Project_244,Infrastructure,,2023-04-14,2023-10-30,2023-10-30,,6927548abc,0.0
P0245,Project_245,Industrial,SP Setia,2022-12-09,2024-05-22,2024-05-22,"41,540,635",,
P0246,Project_246,Infrastructure,,2022-07-01,2023-11-10,2023-11-10,,RM 160565357,0.0
P0247,Project_247,Commercial,,2023-01-09,2023-08-03,2023-08-03,,,0.0
P0248,Project_248,Industrial,,2024-03-27,2025-04-19,2025-05-16,"139,030,686",RM 141618265,27.0
P0249,Project_249,,Gamuda,2022-03-17,2023-09-17,2024-02-27,,,163.0
P0250,Project_250,Commercial,Gamuda,2024-03-20,2025-06-21,2025-06-21,RM27812164,,
P0251,Project_251,Industrial,SP Setia,2023-07-31,2024-12-11,2025-03-15,"33,439,275",34021589abc,94.0
P0252,Project_252,Industrial,IJM,2023-02-05,2024-08-22,2024-08-22,RM45465284,41309617,
P0253,Project_253,Industrial,IJM,2022-04-29,2022-12-20,2022-12-20,RM97091261,94411888.00,0.0
P0254,Project_254,Residential,Sunway,2023-03-25,2024-09-28,2024-09-28,RM85601526,98336691,0.0
P0255,Project_255,Industrial,Sunway,2024-01-29,2025-01-02,2025-01-02,"47,986,102",50348423.00,0.0
P0256,Project_256,Commercial,WCT,2022-07-10,2023-12-24,2023-12-24,"57,968,874",60887229,0.0
P0257,Project_257,Infrastructure,,2024-02-10,2024-07-13,2024-07-13,149120046,151221851.00,0.0
P0258,Project_258,Infrastructure,IJM,2023-06-25,2024-08-08,2025-01-17,"110,372,729",132472302.00,162.0
P0259,Project_259,,,2023-11-20,2024-07-04,2024-07-04,"69,041,379",,0.0
P0260,Project_260,,Sunway,2023-03-05,2025-02-02,2025-02-02,"108,001,359",115597588abc,
P0261,Project_261,Industrial,Sunway,2023-05-17,2024-06-05,2024-06-05,89444429,RM 99890956,0.0
P0262,Project_262,Industrial,Sunway,2022-07-19,2023-11-14,2023-11-14,,,
P0263,Project_263,Industrial,,2022-03-26,2024-01-23,2024-01-23,"83,407,288",RM 81630312,0.0
P0264,Project_264,Industrial,UEM,2023-07-17,2025-03-21,2025-03-21,35657114,RM 38869362,
P0265,Project_265,Residential,,2023-03-12,2023-09-22,2023-09-22,RM84915632,RM 77381971,0.0
P0266,Project_266,,Sunway,2024-06-05,2025-01-01,2025-01-01,"99,121,749",110381150.00,0.0
P0267,Project_267,Infrastructure,WCT,2024-03-14,2025-01-09,2025-01-09,RM99171312,"109,971,086",0.0
P0268,Project_268,Commercial,Sunway,2023-08-10,2024-08-07,2024-08-07,RM41396869,48640984,0.0
P0269,Project_269,Industrial,,2022-09-13,2023-05-10,2023-05-10,,RM 121688037,0.0
P0270,Project_270,Infrastructure,Gamuda,2022-03-19,2022-09-20,2022-09-20,,96185433.00,
P0271,Project_271,Industrial,WCT,2024-06-08,2024-12-10,2024-12-10,"22,000,200",22862620.00,0.0
P0272,Project_272,Residential,IJM,2022-11-27,2023-12-12,2023-12-12,40056126,RM 42854778,
