Project_ID,Project_Name,Category,Contractor,Start_Date,Planned_End_Date,Actual_End_Date,Budget_MYR,Actual_Cost_MYR,Delay_Days
P0045,Project_45,Industrial,,20/11/2023,31/12/2024,31/12/2024,44555028,43917663,0
P0046,Project_46,Residential,,07/10/2023,16/08/2025,14/10/2025,137708361,,59
P0047,Project_47,Commercial,,13/08/2022,10/05/2023,29/09/2023,,25891448,142
P0048,Project_48,,,15/11/2023,09/08/2025,09/08/2025,,109290829abc,
P0049,Project_49,Commercial,WCT,12/06/2022,09/01/2024,09/01/2024,,71158016abc,0
P0050,Project_50,Commercial,UEM,27/03/2023,12/09/2023,12/09/2023,77937969,94504416,0
P0051,Project_51,Commercial,,28/01/2023,01/10/2023,01/10/2023,116365253,126828106,0
P0052,Project_52,Industrial,UEM,03/02/2023,22/12/2024,22/12/2024,,RM 131738209,
P0053,Project_53,Commercial,,15/05/2023,24/03/2024,11/06/2024,,,79
P0054,Project_54,Residential,WCT,11/05/2022,06/02/2024,22/02/2024,12275151,12969301,16
P0055,Project_55,Infrastructure,IJM,24/01/2023,24/03/2024,27/05/2024,,RM 117293116,64
P0056,Project_56,Residential,UEM,27/04/2023,14/08/2023,14/08/2023,98941764,,0
P0057,Project_57,Industrial,WCT,24/07/2022,11/11/2022,11/11/2022,69033920,78305906abc,0
P0058,Project_58,,Gamuda,25/02/2024,06/06/2025,06/06/2025,35744682,RM 34219028,
P0059,Project_59,Residential,WCT,16/11/2022,25/09/2024,09/01/2025,58238744,,106
P0060,Project_60,,SP Setia,20/05/2024,24/04/2026,24/04/2026,16024411,RM 16824546,
P0061,Project_61,Industrial,Sunway,13/01/2022,17/06/2023,17/06/2023,121373051,136235762,0
P0062,Project_62,Infrastructure,UEM,22/01/2024,07/10/2025,07/10/2025,RM149464689,,0
P0063,Project_63,Infrastructure,Gamuda,30/04/2024,25/10/2024,14/01/2025,,,81
P0064,Project_64,,Gamuda,22/05/2023,17/07/2024,11/09/2024,RM61940488,RM 63958364,56
P0065,Project_65,Industrial,,14/06/2023,25/03/2024,25/03/2024,,,0
P0066,Project_66,Industrial,SP Setia,22/03/2024,07/07/2024,07/07/2024,RM64484331,,0
P0067,Project_67,Infrastructure,IJM,12/03/2023,24/12/2024,24/12/2024,126801317,125278596,0
P0068,Project_68,Residential,UEM,31/01/2024,30/10/2025,30/10/2025,RM63085309,62881850abc,0
P0069,Project_69,Residential,WCT,31/10/2022,18/09/2023,18/09/2023,86139339,RM 93628920,0
P0070,Project_70,Industrial,SP Setia,16/12/2023,22/07/2024,11/01/2025,,44928654,173
P0071,Project_71,Commercial,Sunway,08/07/2022,27/11/2022,09/02/2023,35625032,40898585,74
P0072,Project_72,,,10/04/2024,05/02/2026,05/02/2026,71623252,83624100abc,0
P0073,Project_73,Commercial,UEM,07/04/2023,01/10/2024,01/10/2024,120113132,134209556abc,
P0074,Project_74,,,28/09/2022,20/03/2023,20/03/2023,,49322088,0
P0075,Project_75,Infrastructure,UEM,26/10/2022,26/02/2023,26/02/2023,80891635,,0
P0076,Project_76,Commercial,WCT,12/03/2023,05/10/2023,05/10/2023,44994036,53512347,0
P0077,Project_77,,,02/09/2023,05/07/2025,26/09/2025,RM38380930,41564665,83
P0078,Project_78,Commercial,Gamuda,25/03/2023,13/09/2023,13/09/2023,120971811,134435946,0
P0079,Project_79,,,23/02/2024,22/02/2025,22/02/2025,52027403,RM 58688384,0
P0080,Project_80,Infrastructure,,13/10/2023,28/05/2025,30/06/2025,98405085,102362076,33
P0081,Project_81,Industrial,Gamuda,12/12/2023,31/07/2025,22/10/2025,14850811,RM 16117353,83
P0082,Project_82,Residential,UEM,05/11/2023,11/08/2025,17/12/2025,,21434785,128
P0083,Project_83,Commercial,WCT,01/10/2022,14/07/2024,14/07/2024,122605892,131145285,0
P0084,Project_84,Residential,Sunway,19/07/2023,31/10/2023,30/03/2024,,39009648,151
P0085,Project_85,,Sunway,26/05/2023,17/06/2024,17/06/2024,,144859673,0
P0086,Project_86,,WCT,28/01/2023,09/11/2023,09/11/2023,RM41643679,41505696,
P0087,Project_87,Infrastructure,,20/04/2024,21/07/2024,21/07/2024,RM136436828,144117073,0
P0088,Project_88,Industrial,,12/04/2023,04/06/2024,04/06/2024,RM107802954,126284753,0
P0089,Project_89,Residential,,31/01/2023,03/10/2023,03/10/2023,,43033105,0
P0090,Project_90,Residential,SP Setia,16/01/2022,10/09/2022,10/09/2022,,RM 31087792,0
P0091,Project_91,Infrastructure,UEM,22/05/2024,17/02/2026,17/02/2026,135982404,124092739,0
P0092,Project_92,Infrastructure,Gamuda,04/02/2024,04/08/2024,04/08/2024,31979706,36549619,0
P0093,Project_93,Commercial,Sunway,28/10/2022,28/01/2024,12/05/2024,44076094,,105
P0094,Project_94,Infrastructure,,22/03/2022,05/03/2024,05/03/2024,,76897882,
P0095,Project_95,Industrial,WCT,19/09/2022,27/12/2022,27/12/2022,RM47406259,58349162abc,0
P0096,Project_96,Infrastructure,Gamuda,13/04/2023,16/05/2024,15/07/2024,RM134710176,RM 142728888,60
P0097,Project_97,,SP Setia,29/04/2024,06/09/2025,06/09/2025,18165214,RM 21086366,0
P0098,Project_98,Infrastructure,,13/08/2022,24/05/2023,24/05/2023,41716396,,0
P0099,Project_99,Commercial,Sunway,04/02/2022,19/12/2023,19/12/2023,29194993,29613990,0
P0100,Project_100,Infrastructure,SP Setia,16/03/2024,18/12/2025,18/12/2025,,RM 166335369,
P0101,Project_101,,SP Setia,03/04/2024,27/10/2024,27/10/2024,,,0
P0102,Project_102,,,03/04/2022,10/08/2023,10/08/2023,RM149035033,,0
P0103,Project_103,,UEM,22/04/2024,05/08/2025,05/08/2025,RM131561108,159120817abc,0
P0104,Project_104,Infrastructure,,26/10/2023,28/03/2024,16/09/2024,86118556,97235863,172
P0105,Project_105,,Sunway,29/04/2022,04/11/2022,04/11/2022,,,
P0106,Project_106,Commercial,,01/03/2023,08/09/2023,08/09/2023,RM114552773,,
P0107,Project_107,Industrial,WCT,01/04/2023,26/02/2024,26/02/2024,103605726,RM 128703683,0
P0108,Project_108,Infrastructure,UEM,14/07/2022,14/02/2023,14/02/2023,61936721,68687890,0
P0109,Project_109,Commercial,Gamuda,09/05/2022,07/03/2024,07/03/2024,RM60608383,71794783,0
P0110,Project_110,Residential,SP Setia,11/10/2022,06/06/2023,06/06/2023,72284473,67837114,
P0111,Project_111,,IJM,19/03/2024,15/02/2025,15/02/2025,,,0
P0112,Project_112,,Gamuda,03/02/2024,07/07/2024,15/11/2024,102184097,108136017abc,131
P0113,Project_113,Residential,,15/01/2024,29/09/2025,25/12/2025,,14709233,87
P0114,Project_114,Industrial,WCT,31/12/2023,27/06/2025,27/06/2025,RM91466233,RM 84422306,0
P0115,Project_115,Industrial,,10/04/2023,07/12/2024,20/05/2025,31623014,,164
P0116,Project_116,Infrastructure,SP Setia,22/08/2022,17/01/2024,22/04/2024,RM112033318,113028412,96
P0117,Project_117,Commercial,Gamuda,06/06/2022,02/01/2024,02/01/2024,RM27914821,,0
P0118,Project_118,Infrastructure,WCT,24/08/2023,19/06/2025,19/06/2025,37811210,45591342,0
P0119,Project_119,,SP Setia,27/12/2022,11/07/2023,11/07/2023,RM62106638,66377480,
P0120,Project_120,,WCT,28/04/2022,08/05/2023,08/05/2023,120188984,149165503abc,0
P0121,Project_121,Residential,Sunway,30/01/2022,31/10/2022,31/10/2022,,92708145,0
P0122,Project_122,Infrastructure,SP Setia,29/01/2024,29/05/2024,29/05/2024,RM62749293,66437447,
P0123,Project_123,Infrastructure,,06/03/2024,06/01/2026,06/01/2026,19122074,22259099,0
P0124,Project_124,Infrastructure,,09/11/2023,16/04/2025,16/04/2025,123660332,120624364abc,
P0125,Project_125,Residential,UEM,24/04/2022,09/05/2023,17/10/2023,146447797,159782745,161
P0126,Project_126,Commercial,Sunway,05/11/2022,07/09/2023,07/09/2023,,,0
P0127,Project_127,Residential,,25/01/2023,21/10/2024,21/10/2024,,120247098,
P0128,Project_128,Residential,SP Setia,21/03/2022,05/05/2023,09/10/2023,,142046396,157
P0129,Project_129,,IJM,25/06/2022,07/01/2024,07/01/2024,,120415141abc,0
P0130,Project_130,,UEM,10/02/2023,23/03/2024,23/03/2024,94407427,,0
P0131,Project_131,Residential,Sunway,05/03/2024,26/05/2025,26/05/2025,68422936,67710576,0
P0132,Project_132,Infrastructure,Sunway,02/03/2024,18/10/2025,18/10/2025,RM125502087,,
P0133,Project_133,Infrastructure,,27/03/2023,02/09/2023,10/01/2024,86287741,RM 112468287,130
P0134,Project_134,Industrial,Gamuda,08/04/2023,14/08/2023,14/08/2023,,98678114,0
P0135,Project_135,Residential,SP Setia,06/04/2023,09/02/2025,09/02/2025,,98201068,0
P0136,Project_136,Infrastructure,SP Setia,02/01/2024,26/06/2024,26/06/2024,15507135,16332353,0
P0137,Project_137,Residential,,17/10/2022,15/02/2024,15/02/2024,RM19056760,21468523,0
P0138,Project_138,Infrastructure,,18/10/2022,01/10/2023,01/10/2023,RM45365532,50081679,
P0139,Project_139,Industrial,SP Setia,13/05/2022,11/04/2024,11/04/2024,106114081,107702268,0
P0140,Project_140,Commercial,Sunway,19/01/2022,25/04/2023,25/04/2023,62496905,73006051,0
P0141,Project_141,,Sunway,21/03/2022,17/04/2023,17/04/2023,RM149893609,181264656,
P0142,Project_142,Residential,,04/09/2023,22/12/2024,22/12/2024,,62641998,0
P0143,Project_143,Infrastructure,,09/01/2023,08/12/2023,08/12/2023,81484758,95690006,
P0144,Project_144,Commercial,UEM,05/05/2024,17/02/2025,17/02/2025,,123101862,
P0145,Project_145,,IJM,31/03/2024,10/03/2026,10/03/2026,19006908,22921208abc,0
P0146,Project_146,Commercial,,19/10/2022,12/04/2023,12/04/2023,125613208,119530015,0
P0147,Project_147,Commercial,Gamuda,24/12/2022,20/04/2023,20/04/2023,RM111422300,109474897,0
P0148,Project_148,Industrial,,23/11/2022,02/06/2023,02/06/2023,44204812,44222838,0
P0149,Project_149,Residential,WCT,23/09/2023,27/12/2023,27/12/2023,,,0
P0150,Project_150,Residential,,01/09/2022,04/10/2023,04/10/2023,69005616,81279278,0
P0151,Project_151,Commercial,,04/09/2023,03/06/2025,03/06/2025,RM69944772,70080828,
P0152,Project_152,Industrial,,11/07/2022,04/01/2023,04/01/2023,23167529,25262538abc,0
P0153,Project_153,,SP Setia,14/02/2022,15/06/2023,15/06/2023,9359991,8645316,0
P0154,Project_154,Industrial,Sunway,17/05/2022,29/09/2022,29/09/2022,,,
P0155,Project_155,Infrastructure,WCT,10/04/2024,24/11/2024,20/12/2024,14927761,13903998,26
P0156,Project_156,Residential,SP Setia,12/06/2023,21/10/2024,19/03/2025,RM72998396,RM 86197758,149
P0157,Project_157,Commercial,,07/10/2022,12/05/2023,24/08/2023,RM112380027,154652176,104
P0158,Project_158,,Sunway,10/12/2023,31/07/2025,31/07/2025,,88429921,
P0159,Project_159,Commercial,,13/07/2023,06/08/2024,06/08/2024,,26585372,0
P0160,Project_160,Industrial,SP Setia,26/12/2022,25/06/2024,25/06/2024,121753452,151340703,0
P0161,Project_161,Infrastructure,,10/06/2023,18/02/2024,18/02/2024,RM122621122,,0
P0162,Project_162,,SP Setia,04/08/2023,05/12/2023,05/12/2023,125775169,129574168,0
P0163,Project_163,,,12/02/2023,29/03/2024,29/03/2024,,65457213,0
P0164,Project_164,Commercial,IJM,30/07/2023,25/02/2024,25/02/2024,,,0
P0165,Project_165,Residential,WCT,19/05/2022,31/10/2022,31/10/2022,RM124483624,RM 147348729,0
P0166,Project_166,Commercial,,04/11/2022,13/07/2023,13/07/2023,102037318,96167810,0
P0167,Project_167,Residential,WCT,27/01/2022,01/05/2023,01/05/2023,104028837,129417510,
P0168,Project_168,Industrial,,12/02/2023,14/09/2024,05/02/2025,114906474,RM 127856572,144
P0169,Project_169,Residential,Sunway,28/11/2023,08/08/2025,08/08/2025,53845357,50892560abc,0
P0170,Project_170,Infrastructure,UEM,08/11/2022,24/07/2023,24/07/2023,65524219,RM 80549998,0
P0171,Project_171,,Sunway,13/10/2023,28/07/2025,28/07/2025,86288860,,0
P0172,Project_172,Commercial,,25/06/2022,03/06/2024,03/06/2024,RM16058011,14611677,
P0173,Project_173,Infrastructure,,25/09/2023,24/01/2024,24/01/2024,,83232590,
P0174,Project_174,Infrastructure,SP Setia,16/03/2022,14/08/2022,03/10/2022,116567612,118541633abc,50
P0175,Project_175,Residential,WCT,22/01/2024,09/04/2025,09/04/2025,,97901931,0
P0176,Project_176,Commercial,Sunway,06/04/2023,14/03/2024,14/03/2024,,19224526abc,0
P0177,Project_177,Industrial,WCT,13/04/2024,12/06/2025,12/06/2025,,60121098abc,0
P0178,Project_178,Residential,Gamuda,25/05/2023,15/09/2023,18/10/2023,RM140679214,142578054abc,33
P0179,Project_179,Infrastructure,SP Setia,16/10/2022,03/06/2024,12/11/2024,81704997,113743289,162
P0180,Project_180,Residential,,22/02/2024,08/07/2025,08/07/2025,RM112530311,RM 123404779,0
P0181,Project_181,,SP Setia,01/06/2023,03/12/2024,03/12/2024,RM36893090,RM 34452188,0
P0182,Project_182,Infrastructure,,13/02/2024,07/10/2024,07/10/2024,141666534,129495851,
P0183,Project_183,Industrial,WCT,16/06/2023,24/12/2024,24/12/2024,143380017,RM 175780898,
P0184,Project_184,Infrastructure,SP Setia,31/08/2023,07/11/2024,07/11/2024,147898885,162248551,
P0185,Project_185,,,21/11/2023,10/06/2024,10/06/2024,87591639,,
P0186,Project_186,Commercial,UEM,29/09/2022,11/08/2024,11/08/2024,,,0
P0187,Project_187,Industrial,,02/02/2022,10/12/2023,10/12/2023,10083461,10553079,0
P0188,Project_188,Infrastructure,Sunway,12/06/2024,12/11/2024,12/11/2024,,75782479,
P0189,Project_189,,,16/04/2023,10/01/2025,10/01/2025,RM100103188,,
P0190,Project_190,Commercial,,16/07/2022,23/06/2023,23/06/2023,RM85127759,RM 105602578,
P0191,Project_191,Industrial,SP Setia,21/11/2022,24/06/2024,24/06/2024,,86302475abc,
P0192,Project_192,Industrial,UEM,02/03/2024,27/10/2024,27/10/2024,RM82210180,76263120,0
P0193,Project_193,Commercial,Gamuda,26/07/2022,27/04/2024,27/04/2024,77912833,86910749abc,
P0194,Project_194,Commercial,Gamuda,17/11/2023,11/08/2025,11/08/2025,19090474,19388338,0
P0195,Project_195,Infrastructure,Gamuda,18/07/2023,25/03/2024,17/07/2024,RM133164110,RM 175676937,114
P0196,Project_196,Industrial,Sunway,27/02/2024,26/08/2024,26/08/2024,67336134,77644702,
P0197,Project_197,Infrastructure,WCT,07/02/2022,18/06/2023,18/06/2023,82703199,74701127abc,0
P0198,Project_198,Infrastructure,Sunway,11/04/2023,16/01/2025,09/06/2025,41024022,52689978,144
P0199,Project_199,Commercial,,19/01/2024,31/07/2025,31/07/2025,54982432,RM 55971525,0
P0200,Project_200,Infrastructure,UEM,26/04/2024,05/10/2025,05/10/2025,,26399382,0
P0201,Project_201,Infrastructure,SP Setia,07/01/2022,30/12/2022,30/12/2022,124919653,RM 154139882,0
P0202,Project_202,Residential,WCT,11/12/2023,06/11/2024,06/11/2024,RM129928516,135371977abc,0
P0203,Project_203,Industrial,,12/01/2023,31/12/2024,31/12/2024,RM40854597,43274926abc,0
P0204,Project_204,,SP Setia,15/02/2024,16/11/2025,16/11/2025,,79180991,0
P0205,Project_205,,,21/03/2022,17/01/2024,17/01/2024,RM140690649,153047657,0
P0206,Project_206,Commercial,,30/04/2022,24/02/2023,02/08/2023,,38489964,159
P0207,Project_207,Infrastructure,Gamuda,13/04/2023,08/02/2025,08/02/2025,,130133519,
P0208,Project_208,Residential,,03/02/2024,12/12/2024,12/12/2024,17157388,19647520abc,0
P0209,Project_209,Infrastructure,,02/02/2022,20/02/2023,20/02/2023,,,0
P0210,Project_210,,,05/04/2023,24/07/2024,24/07/2024,149767312,179885563,0
P0211,Project_211,,,26/06/2023,01/02/2024,01/02/2024,,,0
P0212,Project_212,Residential,,23/04/2024,14/03/2025,26/05/2025,97921547,,73
P0213,Project_213,Commercial,Gamuda,22/09/2023,06/01/2024,06/01/2024,23063265,21027970abc,0
P0214,Project_214,Commercial,SP Setia,16/02/2023,08/08/2024,08/08/2024,RM63322758,74190353,
P0215,Project_215,Industrial,WCT,15/08/2023,17/07/2025,17/07/2025,86004273,107074756abc,0
P0216,Project_216,Infrastructure,,09/10/2022,10/03/2023,10/03/2023,52011957,54587599,
P0217,Project_217,Commercial,UEM,15/03/2024,02/12/2025,03/03/2026,,123377671abc,91
P0218,Project_218,Commercial,WCT,04/11/2022,29/06/2023,29/06/2023,,126781939,0
P0219,Project_219,Residential,WCT,28/07/2022,29/09/2023,29/09/2023,125738730,,0
P0220,Project_220,Industrial,UEM,22/01/2023,31/12/2024,31/12/2024,24537895,,0
P0221,Project_221,Commercial,UEM,09/06/2024,13/08/2025,13/08/2025,,76499878,0
P0222,Project_222,Infrastructure,SP Setia,11/02/2023,12/01/2024,12/01/2024,RM80983125,RM 88010641,0
P0223,Project_223,Infrastructure,,10/06/2023,29/01/2025,29/01/2025,RM131027875,132610907,0
P0224,Project_224,Infrastructure,Sunway,16/02/2022,14/12/2023,14/12/2023,,11478900abc,0
P0225,Project_225,Infrastructure,,20/07/2022,20/09/2023,27/11/2023,RM70962648,,68
P0226,Project_226,,Gamuda,11/01/2024,25/08/2025,25/08/2025,99536571,114677052,0
P0227,Project_227,Commercial,Gamuda,21/06/2023,23/10/2023,23/10/2023,6713645,8022071,0
P0228,Project_228,Industrial,Gamuda,12/08/2022,10/04/2024,10/04/2024,,24057868abc,0
P0229,Project_229,Residential,,07/01/2022,03/10/2023,02/03/2024,RM8181221,9853835abc,151
P0230,Project_230,Infrastructure,WCT,05/04/2024,03/01/2025,03/01/2025,RM145763634,140979120abc,0
P0231,Project_231,Infrastructure,IJM,25/03/2024,03/08/2025,03/08/2025,113992152,,0
P0232,Project_232,Commercial,IJM,01/11/2023,02/03/2024,04/04/2024,106807911,,33
P0233,Project_233,,,27/05/2023,11/11/2024,11/11/2024,30598497,37382284,0
P0234,Project_234,,Sunway,05/10/2022,19/02/2023,19/02/2023,13832005,16565896,0
P0235,Project_235,Industrial,Sunway,10/02/2024,21/06/2025,21/06/2025,RM48607406,53387631,0
P0236,Project_236,,,20/03/2024,06/09/2024,06/09/2024,RM19414026,19050020,0
P0237,Project_237,Commercial,,03/03/2024,01/05/2025,01/05/2025,,129033537,0
P0238,Project_238,Industrial,SP Setia,29/03/2022,25/04/2023,25/04/2023,27021911,,0
P0239,Project_239,Residential,Sunway,05/01/2023,23/07/2023,23/07/2023,87749915,102357754,0
P0240,Project_240,,SP Setia,18/03/2023,17/09/2024,17/09/2024,142557292,RM 129611901,
P0241,Project_241,,Sunway,03/06/2024,30/09/2025,30/09/2025,116081294,107914374abc,0
P0242,Project_242,Industrial,WCT,03/12/2023,26/03/2025,26/03/2025,77187385,82790678,0
P0243,Project_243,,UEM,08/03/2023,07/04/2024,07/04/2024,,,0
P0244,Project_244,Infrastructure,,14/04/2023,30/10/2023,30/10/2023,,6927548abc,0
P0245,Project_245,Industrial,SP Setia,09/12/2022,22/05/2024,22/05/2024,41540635,,
P0246,Project_246,Infrastructure,,01/07/2022,10/11/2023,10/11/2023,,RM 160565357,0
P0247,Project_247,Commercial,,09/01/2023,03/08/2023,03/08/2023,,,0
P0248,Project_248,Industrial,,27/03/2024,19/04/2025,16/05/2025,139030686,RM 141618265,27
P0249,Project_249,,Gamuda,17/03/2022,17/09/2023,27/02/2024,,,163
P0250,Project_250,Commercial,Gamuda,20/03/2024,21/06/2025,21/06/2025,RM27812164,,
P0251,Project_251,Industrial,SP Setia,31/07/2023,11/12/2024,15/03/2025,33439275,34021589abc,94
P0252,Project_252,Industrial,IJM,05/02/2023,22/08/2024,22/08/2024,RM45465284,41309617,
P0253,Project_253,Industrial,IJM,29/04/2022,20/12/2022,20/12/2022,RM97091261,94411888,0
P0254,Project_254,Residential,Sunway,25/03/2023,28/09/2024,28/09/2024,RM85601526,98336691,0
P0255,Project_255,Industrial,Sunway,29/01/2024,02/01/2025,02/01/2025,47986102,50348423,0
P0256,Project_256,Commercial,WCT,10/07/2022,24/12/2023,24/12/2023,57968874,60887229,0
P0257,Project_257,Infrastructure,,10/02/2024,13/07/2024,13/07/2024,149120046,151221851,0
P0258,Project_258,Infrastructure,IJM,25/06/2023,08/08/2024,17/01/2025,110372729,132472302,162
P0259,Project_259,,,20/11/2023,04/07/2024,04/07/2024,69041379,,0
P0260,Project_260,,Sunway,05/03/2023,02/02/2025,02/02/2025,108001359,115597588abc,
P0261,Project_261,Industrial,Sunway,17/05/2023,05/06/2024,05/06/2024,89444429,RM 99890956,0
P0262,Project_262,Industrial,Sunway,19/07/2022,14/11/2023,14/11/2023,,,
P0263,Project_263,Industrial,,26/03/2022,23/01/2024,23/01/2024,83407288,RM 81630312,0
P0264,Project_264,Industrial,UEM,17/07/2023,21/03/2025,21/03/2025,35657114,RM 38869362,
P0265,Project_265,Residential,,12/03/2023,22/09/2023,22/09/2023,RM84915632,RM 77381971,0
P0266,Project_266,,Sunway,05/06/2024,01/01/2025,01/01/2025,99121749,110381150,0
P0267,Project_267,Infrastructure,WCT,14/03/2024,09/01/2025,09/01/2025,RM99171312,109971086,0
P0268,Project_268,Commercial,Sunway,10/08/2023,07/08/2024,07/08/2024,RM41396869,48640984,0
P0269,Project_269,Industrial,,13/09/2022,10/05/2023,10/05/2023,,RM 121688037,0
P0270,Project_270,Infrastructure,Gamuda,19/03/2022,20/09/2022,20/09/2022,,96185433,
P0271,Project_271,Industrial,WCT,08/06/2024,10/12/2024,10/12/2024,22000200,22862620,0
P0272,Project_272,Residential,IJM,27/11/2022,12/12/2023,12/12/2023,40056126,RM 42854778,
P0273,Project_273,Commercial,WCT,04/10/2023,16/04/2025,16/04/2025,47408377,42678754,0
P0274,Project_274,Residential,,12/06/2022,17/06/2023,17/06/2023,72213360,,0
P0275,Project_275,Commercial,UEM,03/10/2023,08/11/2024,16/01/2025,29481095,28811547,69
P0276,Project_276,Industrial,IJM,16/06/2023,12/12/2024,12/12/2024,97227483,121131269,0
P0277,Project_277,Commercial,Sunway,23/08/2022,18/12/2023,18/12/2023,,39516484,0
P0278,Project_278,Industrial,,12/03/2022,05/12/2023,05/12/2023,49054701,,0
P0279,Project_279,Industrial,SP Setia,30/05/2024,07/04/2025,07/04/2025,RM42584490,47113387,0
P0280,Project_280,Residential,WCT,21/03/2024,09/11/2024,09/11/2024,RM27615343,,0
P0281,Project_281,Industrial,,30/07/2022,10/04/2024,10/04/2024,55639415,55830798,
P0282,Project_282,Commercial,,26/04/2022,28/03/2023,28/03/2023,RM24062139,RM 29889843,
P0283,Project_283,,IJM,31/05/2024,03/04/2026,03/04/2026,51377677,63403061,0
P0284,Project_284,Industrial,,15/01/2022,08/01/2023,08/01/2023,,RM 22066215,0
P0285,Project_285,Commercial,SP Setia,26/03/2022,25/12/2023,25/12/2023,45984844,46374216abc,
P0286,Project_286,Commercial,IJM,05/02/2023,26/12/2024,26/12/2024,88260488,101983708,0
P0287,Project_287,Residential,Gamuda,21/03/2023,15/10/2023,15/10/2023,19771633,,
P0288,Project_288,Commercial,SP Setia,26/12/2023,12/08/2024,12/08/2024,RM138254831,,0
P0289,Project_289,,IJM,10/05/2022,10/05/2023,10/05/2023,RM94928837,94472533,0
